seed,fold,AUC
42,0,0.8603515625
42,1,0.6863905325443787
42,2,0.731933072267711
42,3,0.6785714285714286
42,4,0.8373702422145328
123,0,0.8212890625
123,1,0.7961867192636424
123,2,0.7500889996440014
123,3,0.7040816326530612
123,4,0.8200692041522492
7,0,0.8916015625
7,1,0.831689677843524
7,2,0.6995372018511926
7,3,0.6989795918367347
7,4,0.9178200692041523
