epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-5.420937735516088e+16,0.7180312190737043,,0.40433673469387754,0.0,0.0,5e-06,0,5e-06,2e-05
2,-8.042297507450086e+16,0.727704610143389,,0.4362244897959184,0.0,0.0,5e-06,0,5e-06,2e-05
3,-6.718388718956196e+16,0.7433404411588397,,0.4477040816326531,0.0,0.0,5e-06,0,5e-06,2e-05
4,-9.954780500443933e+16,0.755717430795942,0.7354497354497355,0.4719387755102041,0.0,0.0,5e-06,0,5e-06,2e-05
5,-1.1484373646637333e+17,0.7777444039072309,0.45989304812834225,0.4451530612244898,0.0,0.0,5e-06,0,5e-06,2e-05
6,-1.3821623483015301e+17,0.7927799906049456,,0.44642857142857145,0.0,0.0,5e-06,0,5e-06,2e-05
7,-1.588624833083443e+17,0.8099335602351597,,0.44260204081632654,0.0,0.0,5e-06,0,5e-06,2e-05
8,-1.654351647507105e+17,0.8288843631744385,,0.4387755102040816,0.0,0.0,5e-06,0,5e-06,2e-05
9,-2.0246100615714605e+17,0.8542032582419259,,0.43239795918367346,0.0,0.0,5e-06,0,5e-06,2e-05
10,-1.8795859175069862e+17,0.8756164142063686,,0.4298469387755102,0.0,0.0,5e-06,0,5e-06,2e-05
11,-2.2394289350309693e+17,0.916949919291905,,0.40433673469387754,0.0,0.0,5e-06,0,5e-06,2e-05
12,-2.3347515341076477e+17,0.9412589754377093,,0.4030612244897959,0.0,0.0,5e-06,0,5e-06,2e-05
13,-1.982052048317208e+17,0.9580123765127999,,0.4030612244897959,0.0,0.0,5e-06,0,5e-06,2e-05
14,-2.4024942897556896e+17,0.9860850742885044,,0.41709183673469385,0.0,0.0,5e-06,0,5e-06,2e-05
15,-2.4900863853546288e+17,1.0129831177847726,,0.4247448979591837,0.0,0.0,5e-06,0,5e-06,2e-05
16,-2.6087036995040195e+17,1.0449007408959525,,0.4298469387755102,0.0,0.0,5e-06,0,5e-06,2e-05
