model,pretraining,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
cross_channel_resnet18,cross_channel,32,0,224,56,64,32,32,0.5341796875,0.5602185040796778,0.5,0.0,0.0,0.0,0.23206624388694763,0.5,0.5,0.9375,0.6521739130434783,2,30,2,30,9,0.4872448979591837,0.8404616628374372
cross_channel_resnet18,cross_channel,32,1,212,54,78,39,39,0.7790927021696252,0.7917422357175266,0.5128205128205128,1.0,0.02564102564102564,0.05,0.4252375662326813,0.6153846153846154,0.5737704918032787,0.8974358974358975,0.7,13,26,4,35,1,0.6776406035665294,0.6815157576843545
cross_channel_resnet18,cross_channel,32,2,190,48,106,53,53,0.6140975436098256,0.6311656009986034,0.5566037735849056,0.5652173913043478,0.49056603773584906,0.5252525252525252,0.447646826505661,0.5,0.5,1.0,0.6666666666666666,0,53,0,53,7,0.5190972222222222,0.6931091547012329
cross_channel_resnet18,cross_channel,32,3,252,64,28,14,14,0.3826530612244898,0.43683738999610205,0.5,0.0,0.0,0.0,0.20272131264209747,0.4642857142857143,0.48148148148148145,0.9285714285714286,0.6341463414634146,0,14,1,13,10,0.4013671875,0.8337585926055908
cross_channel_resnet18,cross_channel,32,4,220,56,68,34,34,0.25346020761245674,0.3697796856348695,0.5,0.0,0.0,0.0,0.24778304994106293,0.5,0.5,1.0,0.6666666666666666,0,34,0,34,9,0.3520408163265306,0.7975888081959316
