epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-4.934422612611504e+16,0.6937049967902047,,0.5369897959183674,0.0,0.6666666666666666,5e-06,4,5e-06,2e-05
2,-1.2786575593032194e+17,0.696669842515673,,0.5650510204081632,0.0,0.6666666666666666,5e-06,4,5e-06,2e-05
3,-1.5978856452667117e+17,0.701444183077131,0.3971631205673759,0.5714285714285714,0.0546448087431694,0.6666666666666666,5e-06,4,5e-06,2e-05
4,-1.5569916518096627e+17,0.7101258209773472,,0.5433673469387755,0.0,0.6666666666666666,5e-06,4,5e-06,2e-05
5,-2.372757946850345e+17,0.7209090164729527,,0.4923469387755102,0.0,0.6666666666666666,5e-06,4,5e-06,2e-05
6,-2.622962367752259e+17,0.7349486861910138,0.7201201201201202,0.4885204081632653,0.08,0.6666666666666666,5e-06,4,5e-06,2e-05
7,-3.6521544185743936e+17,0.7504948888506208,,0.4872448979591837,0.0,0.6666666666666666,5e-06,4,5e-06,2e-05
8,-3.62380740014985e+17,0.7673143829618182,,0.49107142857142855,0.0,0.6666666666666666,5e-06,4,5e-06,2e-05
9,-4.436435269269419e+17,0.7844454560961042,0.4880952380952381,0.4642857142857143,0.11650485436893204,0.6666666666666666,5e-06,4,5e-06,2e-05
10,-5.1080267640404346e+17,0.8060984441212246,,0.4502551020408163,0.0,0.6666666666666666,5e-06,4,5e-06,2e-05
11,-5.0993420403011155e+17,0.8279583283833095,0.5815602836879432,0.4604591836734694,0.06000000000000001,0.6666666666666666,5e-06,4,5e-06,2e-05
12,-6.686656187380794e+17,0.8453125442777362,,0.45790816326530615,0.0,0.6666666666666666,5e-06,4,5e-06,2e-05
13,-6.618354012790885e+17,0.868504251752581,,0.4604591836734694,0.0,0.6666666666666666,5e-06,4,5e-06,2e-05
14,-7.580524556124207e+17,0.8931610754558018,,0.45918367346938777,0.0,0.6666666666666666,5e-06,4,5e-06,2e-05
15,-7.213135777414537e+17,0.9152808700289045,0.5177304964539007,0.48341836734693877,0.06000000000000001,0.6666666666666666,5e-06,4,5e-06,2e-05
