epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,8.74089695901393e+16,0.694210022687912,,0.5400390625,0.0,0.6736842105263158,5e-06,3,5e-06,2e-05
2,4.988334681705365e+16,0.6931401640176773,0.5122587376108503,0.5244140625,0.07100591715976332,0.6585365853658537,5e-06,3,5e-06,2e-05
3,-2.381577319277038e+16,0.6952920407056808,,0.486328125,0.0,0.19047619047619047,5e-06,3,5e-06,2e-05
4,-1.9844107617015384e+16,0.7011358290910721,,0.455078125,0.0,0.0,5e-06,3,5e-06,2e-05
5,-8.094159086047557e+16,0.7073044329881668,,0.4521484375,0.0,0.0,5e-06,3,5e-06,2e-05
6,-1.0688712956358123e+17,0.7212759554386139,0.44119601328903657,0.38671875,0.0,0.0,5e-06,3,5e-06,2e-05
7,-7.53496515651809e+16,0.7264150083065033,0.5470344387755102,0.3955078125,0.0,0.0,5e-06,3,5e-06,2e-05
8,-1.6417655354570563e+17,0.7405476421117783,,0.376953125,0.0,0.0,5e-06,3,5e-06,2e-05
9,-1.884006465864304e+17,0.7585550397634506,,0.3623046875,0.0,0.0,5e-06,3,5e-06,2e-05
10,-2.09222017563509e+17,0.7753663808107376,,0.3623046875,0.0,0.0,5e-06,3,5e-06,2e-05
11,-2.5237216814364016e+17,0.7985195219516754,,0.3642578125,0.0,0.0,5e-06,3,5e-06,2e-05
12,-3.163804464400136e+17,0.8275858610868454,,0.357421875,0.0,0.0,5e-06,3,5e-06,2e-05
13,-3.344656265559263e+17,0.8600811511278152,0.680045871559633,0.3173828125,0.0,0.0,5e-06,3,5e-06,2e-05
