epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-138739252690423.84,0.7028720378875732,0.7236238532110092,0.4765625,0.04,0.5925925925925924,5e-06,3,5e-06,2e-05
2,-3532214833358490.5,0.7060859054327011,0.6117467581998475,0.4853515625,0.1693121693121693,0.6808510638297872,5e-06,3,5e-06,2e-05
3,-2448081246640485.5,0.7107669115066528,0.6335010969157311,0.4892578125,0.288135593220339,0.6666666666666666,5e-06,3,5e-06,2e-05
4,-4905394993127570.0,0.715725913643837,,0.48828125,0.0,0.6666666666666666,5e-06,3,5e-06,2e-05
5,-5035744517695703.0,0.7206993401050568,0.6476169461606355,0.5048828125,0.17213114754098363,0.6666666666666666,5e-06,3,5e-06,2e-05
6,-7422953991929336.0,0.7312504202127457,0.7182346109175377,0.5126953125,0.17647058823529413,0.6666666666666666,5e-06,3,5e-06,2e-05
7,-9334713453137660.0,0.7393984943628311,,0.5126953125,0.0,0.6666666666666666,5e-06,3,5e-06,2e-05
8,-1.2749307895677968e+16,0.754422128200531,0.7762345679012346,0.51171875,0.052631578947368425,0.6666666666666666,5e-06,3,5e-06,2e-05
9,-1.0531877143166716e+16,0.7679424583911896,0.7009345794392523,0.5244140625,0.06956521739130435,0.6666666666666666,5e-06,3,5e-06,2e-05
10,-1.344940889489252e+16,0.789449006319046,,0.5263671875,0.0,0.6666666666666666,5e-06,3,5e-06,2e-05
11,-1.7419494885641524e+16,0.8061594814062119,0.6239202657807309,0.51953125,0.061135371179039305,0.6666666666666666,5e-06,3,5e-06,2e-05
12,-1.8463137851527492e+16,0.8292237818241119,,0.51171875,0.0,0.6666666666666666,5e-06,3,5e-06,2e-05
13,-1.6000397127463108e+16,0.8514912277460098,0.5937282229965157,0.525390625,0.1700404858299595,0.6666666666666666,5e-06,3,5e-06,2e-05
14,-1.9790942533985004e+16,0.8689509332180023,,0.5322265625,0.0,0.6666666666666666,5e-06,3,5e-06,2e-05
15,-2.179369422825098e+16,0.8925186991691589,0.7784360189573459,0.5439453125,0.1021276595744681,0.6666666666666666,5e-06,3,5e-06,2e-05
16,-1.6914748215618998e+16,0.9065950363874435,0.7437745740498034,0.5341796875,0.11382113821138212,0.6666666666666666,5e-06,3,5e-06,2e-05
17,-2.539274805169149e+16,0.9249712079763412,0.65103668261563,0.5107421875,0.12552301255230125,0.6666666666666666,5e-06,3,5e-06,2e-05
18,-2.3058488274627244e+16,0.9541445374488831,0.48088467614533964,0.521484375,0.12448132780082989,0.6666666666666666,5e-06,3,5e-06,2e-05
19,-2.9580849300827056e+16,0.9664641171693802,0.6147465437788019,0.5263671875,0.04405286343612334,0.6666666666666666,5e-06,3,5e-06,2e-05
20,-2.462100351257961e+16,0.990303099155426,0.5596899224806201,0.5263671875,0.07725321888412018,0.6666666666666666,5e-06,3,5e-06,2e-05
21,-2.8110536341475652e+16,1.0178482234477997,0.7292517006802721,0.5390625,0.11764705882352941,0.6666666666666666,5e-06,3,5e-06,2e-05
22,-3.1602325800728284e+16,1.034119874238968,0.663013698630137,0.5537109375,0.043668122270742356,0.6666666666666666,5e-06,3,5e-06,2e-05
23,-3.587234981915043e+16,1.066036432981491,,0.5341796875,0.0,0.6666666666666666,5e-06,3,5e-06,2e-05
24,-3.6882813770027336e+16,1.1008973717689514,,0.5322265625,0.0,0.6666666666666666,5e-06,3,5e-06,2e-05
25,-3.689861226157171e+16,1.1457716524600983,,0.533203125,0.0,0.6666666666666666,5e-06,3,5e-06,2e-05
26,-3.7283997325297176e+16,1.1801704168319702,,0.5380859375,0.0,0.6666666666666666,5e-06,3,5e-06,2e-05
27,-3.265694922546394e+16,1.2160149812698364,0.6538842507428895,0.55078125,0.2792452830188679,0.6666666666666666,5e-06,3,5e-06,2e-05
28,-3.5290360564799324e+16,1.2355771362781525,0.5074244751664106,0.5546875,0.07659574468085106,0.6666666666666666,5e-06,3,5e-06,2e-05
