model,pretraining,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
cc_30m,cross_channel,32,0,222,56,63,32,31,0.6018145161290323,0.6398614932650252,0.5873015873015873,0.6875,0.34375,0.4583333333333333,0.4638855755329132,0.5079365079365079,0.5081967213114754,0.96875,0.6666666666666667,1,30,1,31,3,0.6288265306122449,0.6860232438359942
cc_30m,cross_channel,32,1,210,53,78,39,39,0.5923734385272846,0.586697305181585,0.5,0.0,0.0,0.0,0.08871636539697647,0.5256410256410257,0.5172413793103449,0.7692307692307693,0.6185567010309279,11,28,9,30,21,0.7236467236467237,1.2255391759692498
cc_30m,cross_channel,32,2,188,47,106,53,53,0.4321822712709149,0.43687610691621126,0.5,0.0,0.0,0.0,0.006325013004243374,0.5188679245283019,0.5104166666666666,0.9245283018867925,0.6577181208053692,6,47,4,49,57,0.6394927536231884,2.4221075088419814
cc_30m,cross_channel,32,3,252,63,26,14,12,0.36904761904761907,0.47162926986095843,0.46153846153846156,0.0,0.0,0.0,0.23423726856708527,0.5,0.5217391304347826,0.8571428571428571,0.6486486486486486,1,11,2,12,7,0.36794354838709675,0.8235783737803263
cc_30m,cross_channel,32,4,218,55,68,34,34,0.745674740484429,0.7283755561500485,0.5,0.0,0.0,0.0,0.3459896743297577,0.6617647058823529,0.6078431372549019,0.9117647058823529,0.7294117647058823,14,20,3,31,6,0.6732804232804233,0.7291430072350935
