epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,6.151789351463742e+16,0.6874932306153434,0.6523560209424084,0.6721938775510204,0.04733727810650888,0.6666666666666666,5e-06,0,5e-06,2e-05
2,3.4103168702306804e+16,0.6833737918308803,,0.6836734693877551,0.0,0.7000000000000001,5e-06,0,5e-06,2e-05
3,5958745932787970.0,0.6852851510047913,,0.6454081632653061,0.0,0.52,5e-06,0,5e-06,2e-05
4,-3.13832145948827e+16,0.6882500989096505,0.7021276595744681,0.6237244897959183,0.12307692307692307,0.0,5e-06,0,5e-06,2e-05
5,-6.4058821956101496e+16,0.6937215498515538,,0.5918367346938775,0.0,0.0,5e-06,0,5e-06,2e-05
6,-7.928677960179283e+16,0.6995269145284381,,0.5969387755102041,0.0,0.0,5e-06,0,5e-06,2e-05
7,-1.1209076365156928e+17,0.7080763833863395,,0.5586734693877551,0.0,0.0,5e-06,0,5e-06,2e-05
8,-1.465643958849378e+17,0.7150584799902779,0.5186170212765957,0.6122448979591837,0.0,0.0,5e-06,0,5e-06,2e-05
9,-1.6412886577021814e+17,0.7301391363143921,,0.6071428571428571,0.0,0.0,5e-06,0,5e-06,2e-05
10,-2.0251761846931523e+17,0.7488341161182949,1.0377604166666667,0.576530612244898,0.0,0.0,5e-06,0,5e-06,2e-05
11,-2.5036374699465616e+17,0.7704331874847412,,0.514030612244898,0.0,0.0,5e-06,0,5e-06,2e-05
12,-2.4934595551615414e+17,0.7871936815125602,0.5771276595744681,0.5165816326530612,0.0,0.0,5e-06,0,5e-06,2e-05
13,-2.654204712977612e+17,0.7989951201847622,0.5306122448979592,0.5688775510204082,0.0,0.0,5e-06,0,5e-06,2e-05
14,-3.205648744630509e+17,0.8156544310706002,,0.6135204081632653,0.0,0.0,5e-06,0,5e-06,2e-05
