model,pretraining,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
cc_10m,cross_channel,32,0,222,56,63,32,31,0.46068548387096775,0.5007784732614332,0.49206349206349204,0.0,0.0,0.0,0.29518330097198486,0.4603174603174603,0.4827586206896552,0.875,0.6222222222222222,1,30,4,28,4,0.4719387755102041,0.755717430795942
cc_10m,cross_channel,32,1,210,53,78,39,39,0.47534516765285995,0.47834285726178566,0.5,0.0,0.0,0.0,0.052861034870147705,0.48717948717948717,0.4935064935064935,0.9743589743589743,0.6551724137931034,0,39,1,38,29,0.5569800569800569,1.3902076505265146
cc_10m,cross_channel,32,2,188,47,106,53,53,0.4692061231755073,0.4495813784191241,0.5,0.0,0.0,0.0,0.2083958089351654,0.5,0.5,1.0,0.6666666666666666,0,53,0,53,12,0.47101449275362317,0.8480488061904907
cc_10m,cross_channel,32,3,252,63,26,14,12,0.7142857142857143,0.7107724979117015,0.5,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.39765483140945435,0.5769230769230769,0.5789473684210527,0.7857142857142857,0.6666666666666667,4,8,3,11,7,0.8326612903225806,0.6531557062315563
cc_10m,cross_channel,32,4,218,55,68,34,34,0.7439446366782007,0.7386993079475966,0.5,0.0,0.0,0.0,0.07433535158634186,0.6911764705882353,0.6756756756756757,0.7352941176470589,0.7042253521126761,22,12,9,25,25,0.708994708994709,1.2935278935865921
