epoch,train_loss,val_loss,learning_rate,masked_channel_index
1,0.6010582496899303,0.40246631145477296,0.0001,12
2,0.3583231700909095,0.2969128322601318,0.0001,12
3,0.27928164622537605,0.24855627512931824,0.0001,12
4,0.2320466759578189,0.2166322762966156,0.0001,12
5,0.20458895445294228,0.1913125547170639,0.0001,12
6,0.18592876116364027,0.1745141772031784,0.0001,12
7,0.16960202215829354,0.16629932594299315,0.0001,12
8,0.15714977310433506,0.15952605307102202,0.0001,12
9,0.14531049299388593,0.15649822425842286,0.0001,12
10,0.13793695442298978,0.14496001648902893,0.0001,12
11,0.13167285778662488,0.1434877007007599,0.0001,12
12,0.1251111433599343,0.1420853806734085,0.0001,12
13,0.1181947097341361,0.13685287022590636,0.0001,12
14,0.11346650606160487,0.14263584983348845,0.0001,12
15,0.10807789984122713,0.12835065650939942,0.0001,12
16,0.10459459071906012,0.12493860864639282,0.0001,12
17,0.10050953736402811,0.12437823843955993,0.0001,12
18,0.0949004595283936,0.12883951544761657,0.0001,12
19,0.09290369997775427,0.12478376245498657,0.0001,12
20,0.08880709755993399,0.1217802996635437,0.0001,12
21,0.08530917058423745,0.12212242555618286,0.0001,12
22,0.08265601634130783,0.12296230721473694,0.0001,12
23,0.08119484039812326,0.1196286689043045,0.0001,12
24,0.07770434979124001,0.11917536091804505,0.0001,12
25,0.07626321221108538,0.11938040590286254,0.0001,12
26,0.07376878292323007,0.1313073101043701,0.0001,12
27,0.07314496203673691,0.11972462260723114,0.0001,12
28,0.07055528623671718,0.12059590661525726,0.0001,12
29,0.06877750660760122,0.11886640393733978,0.0001,12
30,0.06673412055466522,0.11769967353343963,0.0001,12
31,0.06455840827943592,0.12235847997665406,0.0001,12
32,0.06327258693418893,0.11756188440322876,0.0001,12
33,0.0617981644420225,0.11925399005413055,0.0001,12
34,0.06072021552835495,0.11602053797245025,0.0001,12
35,0.06004775247911117,0.12652275609970093,0.0001,12
36,0.05831638962242527,0.11872913515567779,0.0001,12
37,0.05787065557578704,0.1171168268918991,0.0001,12
38,0.05675830669515498,0.1214670159816742,0.0001,12
39,0.05589886557218019,0.11921771705150604,0.0001,12
40,0.054375270229111365,0.11883513581752778,0.0001,12
41,0.053010655799052044,0.12054849529266358,0.0001,12
42,0.051527854028651725,0.11833217298984527,0.0001,12
43,0.05065593798230551,0.12128195607662201,0.0001,12
44,0.05063069036422675,0.11848345947265625,0.0001,12
