epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-5096696846190610.0,0.6866229431969779,0.47218045112781953,0.5790816326530612,0.05940594059405941,0.4,5e-06,0,5e-06,2e-05
2,-3068741199723363.0,0.6831797787121364,,0.6658163265306123,0.0,0.25,5e-06,0,5e-06,2e-05
3,-2.7167762806362892e+16,0.6818241391863141,0.5054945054945055,0.7193877551020408,0.04,0.0689655172413793,5e-06,0,5e-06,2e-05
4,-4.57040671960874e+16,0.6881670951843262,0.593050193050193,0.7270408163265306,0.06666666666666667,0.0,5e-06,0,5e-06,2e-05
5,-3.756782512876085e+16,0.6987837893622262,,0.7040816326530612,0.0,0.0,5e-06,0,5e-06,2e-05
6,-7.373021820822877e+16,0.7130831054278782,0.7891156462585034,0.6301020408163265,0.0,0.0,5e-06,0,5e-06,2e-05
7,-1.0007510997954936e+17,0.7221978051321847,,0.6543367346938775,0.0,0.0,5e-06,0,5e-06,2e-05
8,-7.708887056472992e+16,0.7367516756057739,,0.6505102040816326,0.0,0.0,5e-06,0,5e-06,2e-05
9,-1.0867266500433443e+17,0.7585058212280273,,0.5892857142857143,0.0,0.0,5e-06,0,5e-06,2e-05
10,-1.1794035508794083e+17,0.7753378663744245,0.38337468982630274,0.5880102040816326,0.0,0.0,5e-06,0,5e-06,2e-05
11,-1.653167100170076e+17,0.7934701272419521,,0.5918367346938775,0.0,0.0,5e-06,0,5e-06,2e-05
12,-1.0679515685719288e+17,0.8068624309131077,0.47338021094927174,0.6556122448979592,0.0,0.0,5e-06,0,5e-06,2e-05
13,-1.0591811430969778e+17,0.8225915602275303,0.5292270531400967,0.6568877551020408,0.0,0.0,5e-06,0,5e-06,2e-05
14,-1.6302654646476163e+17,0.8359233907290867,0.6369047619047619,0.6760204081632653,0.0,0.0,5e-06,0,5e-06,2e-05
15,-2.0721451607923392e+17,0.8417635134288243,,0.7321428571428571,0.0,0.0,5e-06,0,5e-06,2e-05
16,-1.5197663461456298e+17,0.8606440254620144,0.7575513491743858,0.7551020408163265,0.0,0.0,5e-06,0,5e-06,2e-05
17,-1.2685085811905435e+17,0.8833826950618199,0.7083798882681565,0.7627551020408163,0.0,0.0,5e-06,0,5e-06,2e-05
18,-2.293004776517719e+17,0.9061775718416486,0.6428995840760546,0.735969387755102,0.0,0.0,5e-06,0,5e-06,2e-05
19,-2.704004157650341e+17,0.9340526376451764,,0.7206632653061225,0.0,0.0,5e-06,0,5e-06,2e-05
20,-2.552278000885273e+17,0.9620458057948521,0.3794406651549509,0.7130102040816326,0.0,0.0,5e-06,0,5e-06,2e-05
21,-1.818099333416699e+17,0.9677091666630336,0.6764812138728323,0.7487244897959183,0.0,0.0,5e-06,0,5e-06,2e-05
22,-2.5709579079049024e+17,0.989651484148843,0.5617021276595745,0.7589285714285714,0.0,0.0,5e-06,0,5e-06,2e-05
23,-2.783700830977127e+17,1.0249567117009843,,0.75,0.0,0.0,5e-06,0,5e-06,2e-05
24,-2.9959438920302054e+17,1.0505710925374712,,0.75,0.0,0.0,5e-06,0,5e-06,2e-05
25,-2.7464350295157034e+17,1.07082565341677,0.5737327188940092,0.7308673469387755,0.0,0.0,5e-06,0,5e-06,2e-05
26,-3.064536849659431e+17,1.0978304147720337,0.4567901234567901,0.7397959183673469,0.0,0.0,5e-06,0,5e-06,2e-05
27,-3.49601202847202e+17,1.140893885067531,,0.7321428571428571,0.0,0.0,5e-06,0,5e-06,2e-05
28,-3.682119155447022e+17,1.1823158689907618,,0.7206632653061225,0.0,0.0,5e-06,0,5e-06,2e-05
29,-3.609548451151906e+17,1.220740624836513,,0.7155612244897959,0.0,0.0,5e-06,0,5e-06,2e-05
