model,pretraining,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
cc_newcode_landcover,cross_channel,32,0,224,56,64,32,32,0.3720703125,0.4372468871932028,0.5,0.0,0.0,0.0,0.373492956161499,0.5,0.5,1.0,0.6666666666666666,0,32,0,32,1,0.22831632653061223,0.7307733382497515
cc_newcode_landcover,cross_channel,32,1,212,54,78,39,39,0.4760026298487837,0.561566400016345,0.5,0.0,0.0,0.0,0.4285908341407776,0.5256410256410257,0.5131578947368421,1.0,0.6782608695652175,2,37,0,39,1,0.5829903978052127,0.6923498025646916
cc_newcode_landcover,cross_channel,32,2,190,48,106,53,53,0.6753292986828052,0.6586567047586283,0.5,0.5,1.0,0.6666666666666666,0.587898313999176,0.5754716981132075,0.5465116279069767,0.8867924528301887,0.6762589928057554,14,39,6,47,2,0.6788194444444444,0.6999282638231913
cc_newcode_landcover,cross_channel,32,3,252,64,28,14,14,0.4642857142857143,0.49852557850096446,0.5,0.5,0.8571428571428571,0.631578947368421,0.4863301217556,0.5357142857142857,0.5185185185185185,1.0,0.6829268292682926,1,13,0,14,2,0.5830078125,0.6893092095851898
cc_newcode_landcover,cross_channel,32,4,220,56,68,34,34,0.9117647058823529,0.8923650855877961,0.5,0.0,0.0,0.0,0.14206072688102722,0.75,0.84,0.6176470588235294,0.711864406779661,30,4,13,21,31,0.8073979591836735,0.9782957434654236
