model,pretraining,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
strip_jigsaw_resnet18,strip_jigsaw,32,0,224,56,64,32,32,0.6220703125,0.661661790952629,0.5,0.0,0.0,0.0,0.01040748879313469,0.5,0.5,1.0,0.6666666666666666,0,32,0,32,10,0.6237244897959183,1.9381358964102608
strip_jigsaw_resnet18,strip_jigsaw,32,1,212,54,78,39,39,0.5871137409598948,0.6400174020521981,0.5,0.0,0.0,0.0,0.0002825623960234225,0.5,0.5,0.9487179487179487,0.6548672566371682,2,37,2,37,22,0.6255144032921811,3.515083569067496
strip_jigsaw_resnet18,strip_jigsaw,32,2,190,48,106,53,53,0.4190103239587042,0.4626105868405255,0.5,0.0,0.0,0.0,0.3779866099357605,0.42452830188679247,0.44594594594594594,0.6226415094339622,0.5196850393700787,12,41,20,33,1,0.6059027777777778,0.7162909309069315
strip_jigsaw_resnet18,strip_jigsaw,32,3,252,64,28,14,14,0.7193877551020408,0.7120703701060843,0.5,0.0,0.0,0.0,0.007300801109522581,0.5,0.5,1.0,0.6666666666666666,0,14,0,14,7,0.5068359375,1.7977084517478943
strip_jigsaw_resnet18,strip_jigsaw,32,4,220,56,68,34,34,0.6704152249134948,0.6280642272104768,0.5,0.0,0.0,0.0,0.002412086818367243,0.6176470588235294,0.625,0.5882352941176471,0.6060606060606061,22,12,14,20,15,0.6454081632653061,2.918912206377302
