model,pretraining,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
sequential_resnet18,sequential_masked_recon_to_cross_channel,32,0,224,56,64,32,32,0.603515625,0.6013763484827932,0.5,0.0,0.0,0.0,0.3379502594470978,0.625,0.58,0.90625,0.7073170731707317,11,21,3,29,1,0.5880102040816326,0.7195379308291844
sequential_resnet18,sequential_masked_recon_to_cross_channel,32,1,212,54,78,39,39,0.46548323471400394,0.46387209800387924,0.47435897435897434,0.4,0.10256410256410256,0.163265306122449,0.3717488646507263,0.5,0.5,1.0,0.6666666666666666,0,39,0,39,1,0.3936899862825789,0.7096638966489721
sequential_resnet18,sequential_masked_recon_to_cross_channel,32,2,190,48,106,53,53,0.5752936988252046,0.5870076283187097,0.5,0.0,0.0,0.0,0.4054275155067444,0.5188679245283019,0.5166666666666667,0.5849056603773585,0.5486725663716815,24,29,22,31,2,0.78125,0.6909492015838623
sequential_resnet18,sequential_masked_recon_to_cross_channel,32,3,252,64,28,14,14,0.6224489795918368,0.619532055246341,0.5,0.0,0.0,0.0,0.0009335922077298164,0.6428571428571429,0.6,0.8571428571428571,0.7058823529411764,6,8,2,12,15,0.6474609375,3.2648385763168335
sequential_resnet18,sequential_masked_recon_to_cross_channel,32,4,220,56,68,34,34,0.7941176470588235,0.7902194293693556,0.5,0.0,0.0,0.0,0.00015243265079334378,0.6323529411764706,0.5789473684210527,0.9705882352941176,0.7252747252747253,10,24,1,33,21,0.5790816326530612,4.216906002589634
