epoch,train_loss,val_loss,learning_rate,masked_channel_index
1,0.6170123432666805,0.4376642594337463,0.0001,12
2,0.4040443918458932,0.3546164927482605,0.0001,12
3,0.33348834450983067,0.3094729404449463,0.0001,12
4,0.2937775396367409,0.30376198291778567,0.0001,12
5,0.264727583082121,0.25543597841262816,0.0001,12
6,0.24123855550306122,0.2437936429977417,0.0001,12
7,0.22596722008706835,0.24967612385749816,0.0001,12
8,0.21423849267255368,0.23572027158737183,0.0001,12
9,0.1997310590277363,0.2178209764957428,0.0001,12
10,0.1887131588420834,0.2173557095527649,0.0001,12
11,0.1781816247625283,0.20162109398841857,0.0001,12
12,0.17083008847202694,0.1935728598833084,0.0001,12
13,0.16108906650882598,0.20216217935085296,0.0001,12
14,0.15404120273225247,0.2491608955860138,0.0001,12
15,0.14664974103406656,0.2061683669090271,0.0001,12
16,0.140174610016609,0.20210678029060364,0.0001,12
17,0.13614078528940465,0.18413916158676147,0.0001,12
18,0.13260839086728587,0.18353859543800355,0.0001,12
19,0.12701085978767626,0.17613927710056304,0.0001,12
20,0.12172740363777744,0.181110773563385,0.0001,12
21,0.11767433045491629,0.1770617356300354,0.0001,12
22,0.11350447766721461,0.20232765924930574,0.0001,12
23,0.1117084196294754,0.17617908358573914,0.0001,12
24,0.11023224985684364,0.17337269365787505,0.0001,12
25,0.10689150862846511,0.17058634448051452,0.0001,12
26,0.10250932672906177,0.160531396985054,0.0001,12
27,0.09897264689737367,0.1723886424303055,0.0001,12
28,0.09722466056245077,0.1686409455537796,0.0001,12
29,0.09396975914354426,0.1728582811355591,0.0001,12
30,0.09231774156309956,0.18078344070911406,0.0001,12
31,0.08984500676181392,0.16410367453098298,0.0001,12
32,0.09001366542221388,0.16221403312683105,0.0001,12
33,0.08646303349012158,0.20478051376342774,0.0001,12
34,0.08559597214664004,0.16814702785015107,0.0001,12
35,0.08299328858742086,0.1878757654428482,0.0001,12
36,0.0789451495449314,0.18262946581840514,0.0001,12
