arm,n_seeds,per_seed_means,mean_AUC,SD_folds,seed_to_seed_SD,mean_PR_AUC
30m,5,1:0.548;7:0.634;42:0.506;99:0.587;123:0.473,0.55,0.153,0.064,0.578
10m,5,1:0.609;7:0.596;42:0.573;99:0.569;123:0.658,0.601,0.184,0.036,0.621
