model,pretraining,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
cc_30m,cross_channel,32,0,222,56,63,32,31,0.717741935483871,0.6573337275812179,0.49206349206349204,0.0,0.0,0.0,0.009611531160771847,0.6666666666666666,0.6122448979591837,0.9375,0.7407407407407408,12,19,2,30,52,0.6173469387755102,2.183052267347063
cc_30m,cross_channel,32,1,210,53,78,39,39,0.819197896120973,0.8347542895961257,0.5,0.0,0.0,0.0,0.3061053454875946,0.7564102564102564,0.717391304347826,0.8461538461538461,0.776470588235294,26,13,6,33,10,0.7421652421652422,0.743051605404548
cc_30m,cross_channel,32,2,188,47,106,53,53,0.5857956568173728,0.5686899447481965,0.5,0.0,0.0,0.0,0.42890143394470215,0.5471698113207547,0.5274725274725275,0.9056603773584906,0.6666666666666666,10,43,5,48,1,0.625,0.6948218003232428
cc_30m,cross_channel,32,3,252,63,26,14,12,0.5476190476190477,0.617618896251379,0.46153846153846156,0.0,0.0,0.0,0.3642407953739166,0.5769230769230769,0.5652173913043478,0.9285714285714286,0.7027027027027025,2,10,1,13,2,0.5080645161290323,0.7242719370221334
cc_30m,cross_channel,32,4,218,55,68,34,34,0.49740484429065746,0.6011378484835513,0.5294117647058824,0.5714285714285714,0.23529411764705882,0.3333333333333333,0.46984022855758667,0.4852941176470588,0.4918032786885246,0.8823529411764706,0.631578947368421,3,31,4,30,1,0.5965608465608465,0.6865516435016286
