epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-3061602525021884.5,0.6897996664047241,0.6125,0.7447916666666666,0.27807486631016043,0.6666666666666666,5e-06,2,5e-06,2e-05
2,-2866082259397233.0,0.6861948370933533,0.7108671171171171,0.8038194444444444,0.25668449197860965,0.6666666666666666,5e-06,2,5e-06,2e-05
3,-4509339828556509.0,0.67860347032547,0.6963769114203058,0.8350694444444444,0.49350649350649345,0.6666666666666666,5e-06,2,5e-06,2e-05
4,-2318628886701130.0,0.6678836544354757,0.7655122655122655,0.8454861111111112,0.48034934497816595,0.6666666666666666,5e-06,2,5e-06,2e-05
5,-5804591561765511.0,0.6589317321777344,0.7155012948575656,0.84375,0.18888888888888886,0.6666666666666666,5e-06,2,5e-06,2e-05
6,-1820307322596513.2,0.6491443117459615,0.8209042865531415,0.8420138888888888,0.4748858447488585,0.6666666666666666,5e-06,2,5e-06,2e-05
7,-4968814034018218.0,0.6437975962956747,0.8609375,0.8472222222222222,0.10126582278481014,0.676056338028169,5e-06,2,5e-06,2e-05
8,-4964984118434374.0,0.6412148078282675,0.7015416238437822,0.8472222222222222,0.35789473684210527,0.676056338028169,5e-06,2,5e-06,2e-05
9,-9262617272555240.0,0.6436730623245239,0.7631578947368421,0.8420138888888888,0.2033898305084746,0.6666666666666666,5e-06,2,5e-06,2e-05
10,-1.01464962722293e+16,0.6467523773511251,0.7146805896805897,0.84375,0.23655913978494622,0.6666666666666666,5e-06,2,5e-06,2e-05
11,-8030294399715350.0,0.6524945298830668,0.8098663926002055,0.84375,0.34146341463414637,0.6666666666666666,5e-06,2,5e-06,2e-05
12,-1.0925765531251852e+16,0.6593216260274252,0.7798417612659099,0.8472222222222222,0.20105820105820105,0.6666666666666666,5e-06,2,5e-06,2e-05
13,-1.963514465568962e+16,0.6628555258115133,,0.84375,0.0,0.6666666666666666,5e-06,2,5e-06,2e-05
14,-6469608965975159.0,0.6679585178693136,0.8314260563380281,0.84375,0.3121951219512195,0.6666666666666666,5e-06,2,5e-06,2e-05
15,-2869034175231978.5,0.6721771756807963,0.8360849056603774,0.8472222222222222,0.6015037593984962,0.6666666666666666,5e-06,2,5e-06,2e-05
16,-1.4855970692428078e+16,0.6637290716171265,0.80859375,0.8472222222222222,0.09248554913294797,0.6666666666666666,5e-06,2,5e-06,2e-05
17,-7879956469860546.0,0.660512387752533,0.8134057971014492,0.8489583333333334,0.41628959276018096,0.6666666666666666,5e-06,2,5e-06,2e-05
18,-1.696278422136043e+16,0.6586796641349792,0.798109243697479,0.8541666666666666,0.33170731707317075,0.6666666666666666,5e-06,2,5e-06,2e-05
19,-7280869989659788.0,0.6444786190986633,0.831593706184764,0.859375,0.4336283185840708,0.6666666666666666,5e-06,2,5e-06,2e-05
20,-2.238944785555301e+16,0.6417178312937418,,0.859375,0.0,0.6666666666666666,5e-06,2,5e-06,2e-05
21,-2.2179583925356564e+16,0.6464837392171224,,0.859375,0.0,0.6666666666666666,5e-06,2,5e-06,2e-05
22,-1.7485469859482656e+16,0.6590460141499838,0.7541452258433391,0.8559027777777778,0.1229050279329609,0.6666666666666666,5e-06,2,5e-06,2e-05
23,-1.880591743342691e+16,0.6729414264361063,0.7731331168831169,0.8541666666666666,0.17204301075268816,0.6666666666666666,5e-06,2,5e-06,2e-05
24,-2.255810883077855e+16,0.6834190686543783,,0.8524305555555556,0.0,0.6666666666666666,5e-06,2,5e-06,2e-05
25,-1.767280182066452e+16,0.6897896528244019,,0.8524305555555556,0.0,0.6666666666666666,5e-06,2,5e-06,2e-05
26,-2.9549198925425956e+16,0.7165616353352865,0.8544809228039042,0.8489583333333334,0.07999999999999999,0.6666666666666666,5e-06,2,5e-06,2e-05
27,-1.5039782871199356e+16,0.7420888741811117,0.8384194053208138,0.8559027777777778,0.3364485981308411,0.6666666666666666,5e-06,2,5e-06,2e-05
28,-1.933843863990298e+16,0.7411238352457682,0.8184073990525603,0.8541666666666666,0.30243902439024395,0.6666666666666666,5e-06,2,5e-06,2e-05
29,-2.1992471016941028e+16,0.742994487285614,0.8123684210526316,0.859375,0.24752475247524755,0.6666666666666666,5e-06,2,5e-06,2e-05
