method,seed,fraction,mean_train_n,mean_fold_auc,fold_aucs
scratch,42,0.05,102,0.6914494017766717,0.6715;0.7574;0.7074;0.5557;0.7653
scratch,42,0.1,204,0.6963779279114235,0.6503;0.7634;0.7240;0.6018;0.7423
scratch,42,0.25,511,0.682285817998823,0.6277;0.7379;0.6947;0.6125;0.7387
scratch,42,0.5,1023,0.7191851229799577,0.6697;0.7647;0.7212;0.5765;0.8638
scratch,42,1.0,2046,0.6841371504075757,0.6631;0.7923;0.6983;0.5293;0.7376
masked_recon,42,0.05,102,0.6079117589873138,0.6403;0.5136;0.6752;0.5723;0.6381
masked_recon,42,0.1,204,0.6384583391966403,0.6178;0.6966;0.6310;0.5721;0.6748
masked_recon,42,0.25,511,0.6924670750400884,0.6376;0.7242;0.6866;0.6137;0.8003
masked_recon,42,0.5,1023,0.6721586086055364,0.6420;0.7403;0.6863;0.6236;0.6686
masked_recon,42,1.0,2046,0.6666756166131729,0.6623;0.7648;0.7185;0.5998;0.5880
