method,seed,fraction,mean_train_n,mean_fold_auc,fold_aucs
scratch,123,0.05,102,0.6212954580954785,0.6390;0.7336;0.5824;0.5840;0.5674
scratch,123,0.1,204,0.6703258085118061,0.6527;0.6967;0.6366;0.6019;0.7637
scratch,123,0.25,511,0.6781804976141729,0.6581;0.7751;0.7117;0.5602;0.6858
scratch,123,0.5,1023,0.6702861529330364,0.6348;0.7233;0.6738;0.5221;0.7974
scratch,123,1.0,2046,0.7007859474978602,0.6339;0.7737;0.7436;0.5836;0.7691
masked_recon,123,0.05,102,0.6744096830084756,0.6473;0.7440;0.6649;0.6182;0.6977
masked_recon,123,0.1,204,0.6577251707897837,0.6525;0.7303;0.6689;0.6445;0.5924
masked_recon,123,0.25,511,0.6834543769407084,0.6599;0.7445;0.6742;0.5739;0.7647
masked_recon,123,0.5,1023,0.7326676831247837,0.6758;0.7625;0.7128;0.6555;0.8568
masked_recon,123,1.0,2046,0.694034912423298,0.6637;0.7313;0.6967;0.6582;0.7203
