epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,1.3838601311072592e+17,0.709740142027537,0.5656441717791411,0.6597222222222222,0.05780346820809249,0.6666666666666666,5e-06,2,5e-06,2e-05
2,1.1218112100980835e+17,0.7011855642000834,0.5535714285714286,0.6753472222222222,0.14207650273224046,0.6666666666666666,5e-06,2,5e-06,2e-05
3,1.0373710381756338e+17,0.6931250095367432,0.6193433895297249,0.65625,0.08092485549132947,0.6666666666666666,5e-06,2,5e-06,2e-05
4,6.1964594160350696e+16,0.6882488330205282,,0.6770833333333334,0.0,0.6666666666666666,5e-06,2,5e-06,2e-05
5,5.2098013423311256e+16,0.6844839652379354,,0.671875,0.0,0.6567164179104478,5e-06,2,5e-06,2e-05
6,2.923909158314415e+16,0.683718760808309,,0.6666666666666666,0.0,0.6785714285714286,5e-06,2,5e-06,2e-05
7,2.5665644286200692e+16,0.6842546065648397,,0.6736111111111112,0.0,0.26666666666666666,5e-06,2,5e-06,2e-05
8,-5.767091779588933e+16,0.6868671377499899,0.4658385093167702,0.6649305555555556,0.05405405405405406,0.07999999999999999,5e-06,2,5e-06,2e-05
9,-4.333219129210617e+16,0.6914203763008118,,0.6545138888888888,0.0,0.0,5e-06,2,5e-06,2e-05
10,-6.382259481990646e+16,0.6986645261446635,,0.6371527777777778,0.0,0.0,5e-06,2,5e-06,2e-05
11,-8.339084187877686e+16,0.7059582869211832,,0.6128472222222222,0.0,0.0,5e-06,2,5e-06,2e-05
12,-1.1444270463749152e+17,0.7158194581667582,,0.6041666666666666,0.0,0.0,5e-06,2,5e-06,2e-05
13,-1.3033913309858779e+17,0.7276748021443685,,0.5972222222222222,0.0,0.0,5e-06,2,5e-06,2e-05
14,-1.7693184379512214e+17,0.7368225256601969,,0.578125,0.0,0.0,5e-06,2,5e-06,2e-05
15,-1.869995124302945e+17,0.7480962673823038,,0.5920138888888888,0.0,0.0,5e-06,2,5e-06,2e-05
16,-2.103653045600463e+17,0.7646517554918925,,0.59375,0.0,0.0,5e-06,2,5e-06,2e-05
