method,n_seeds,mean_AUC,seed_to_seed_SD,worst_fold_AUC,best_fold_AUC,delta_vs_scratch,gate_2xSD,verdict
scratch,3,0.7033914646571379,0.013365651397065942,0.6035,0.8221,0.0,0.026731302794131884,—
masked_recon,3,0.7099236798968839,0.013101990318798476,0.563,0.8657,0.006532215239746009,0.026731302794131884,within noise
cross_channel,3,0.6839504261643031,0.0242306137083706,0.536,0.8693,-0.01944103849283474,0.0484612274167412,within noise
strip_jigsaw,3,0.6604859526740127,0.03123075510037685,0.5373,0.8302,-0.0429055119831252,0.0624615102007537,within noise
sequential,3,0.6600351661867906,0.014896357348548026,0.5736,0.7601,-0.043356298470347276,0.029792714697096052,SSL hurts
