method,mean_auc,sd_auc,n_seeds
scratch,0.7033914646571379,0.01336565139706595,3
masked_recon,0.7099236798968839,0.013101990318798475,3
cross_channel,0.6839504261643031,0.024230613708370628,3
strip_jigsaw,0.6604859526740127,0.03123075510037684,3
sequential,0.6600351661867906,0.014896357348548024,3
