model,pretraining,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
cc_mask06_resnet18,cross_channel_mask06,32,0,224,56,64,32,32,0.5556640625,0.5282144058860314,0.5,0.5,1.0,0.6666666666666666,0.8121342658996582,0.5,0.5,1.0,0.6666666666666666,0,32,0,32,33,0.7448979591836735,0.8602573871612549
cc_mask06_resnet18,cross_channel_mask06,32,1,212,54,78,39,39,0.68310322156476,0.7284496753651312,0.46153846153846156,0.4794520547945205,0.8974358974358975,0.625,0.8849055171012878,0.5384615384615384,0.8,0.10256410256410256,0.18181818181818182,38,1,35,4,36,0.8093278463648834,0.9591536521911621
cc_mask06_resnet18,cross_channel_mask06,32,2,190,48,106,53,53,0.8351726593093628,0.7837388121076675,0.5,0.5,1.0,0.6666666666666666,0.6945957541465759,0.5,0.5,1.0,0.6666666666666666,0,53,0,53,40,0.8368055555555556,0.7355502843856812
cc_mask06_resnet18,cross_channel_mask06,32,3,252,64,28,14,14,0.6683673469387755,0.6687905581813146,0.5,0.5,1.0,0.6666666666666666,0.7630718350410461,0.4642857142857143,0.48148148148148145,0.9285714285714286,0.6341463414634146,0,14,1,13,24,0.669921875,0.9240075647830963
cc_mask06_resnet18,cross_channel_mask06,32,4,220,56,68,34,34,0.8494809688581315,0.8712503439900592,0.6323529411764706,0.576271186440678,1.0,0.7311827956989247,0.6037135124206543,0.7205882352941176,0.7027027027027027,0.7647058823529411,0.7323943661971832,23,11,8,26,25,0.8239795918367347,0.6390249814305987
