epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-3987579160850200.0,0.6822845935821533,0.7326416600159616,0.6982167352537723,0.0970873786407767,0.6250000000000001,5e-06,1,5e-06,2e-05
2,-2.7204789221482652e+16,0.6856647774025246,,0.6982167352537723,0.0,0.13333333333333333,5e-06,1,5e-06,2e-05
3,-6.043841690509405e+16,0.6923233027811404,,0.6817558299039781,0.0,0.0,5e-06,1,5e-06,2e-05
4,-8.994585721852693e+16,0.7034994959831238,,0.6213991769547325,0.0,0.0,5e-06,1,5e-06,2e-05
5,-1.0920593684325002e+17,0.7147612991156401,,0.578875171467764,0.0,0.0,5e-06,1,5e-06,2e-05
6,-1.525385910645889e+17,0.7274572319454617,,0.5281207133058985,0.0,0.0,5e-06,1,5e-06,2e-05
7,-1.6612024718263014e+17,0.7367212882748356,0.5133457479826194,0.53360768175583,0.0,0.0,5e-06,1,5e-06,2e-05
8,-1.8882365306090416e+17,0.7444359086177967,0.7150031387319523,0.5692729766803841,0.0,0.0,5e-06,1,5e-06,2e-05
9,-2.4766519059051997e+17,0.7626240849494934,,0.5555555555555556,0.0,0.0,5e-06,1,5e-06,2e-05
10,-2.8213214365987018e+17,0.7839620025069626,,0.522633744855967,0.0,0.0,5e-06,1,5e-06,2e-05
11,-3.0117038846686624e+17,0.8045166841259709,,0.522633744855967,0.0,0.0,5e-06,1,5e-06,2e-05
12,-3.354203610850164e+17,0.8251150117980109,,0.4883401920438957,0.0,0.0,5e-06,1,5e-06,2e-05
13,-3.523699538956619e+17,0.8490992387135824,,0.4842249657064472,0.0,0.0,5e-06,1,5e-06,2e-05
