epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-5.484697478691622e+16,0.6913034518559774,0.5652173913043478,0.6284722222222222,0.04761904761904761,0.0,5e-06,2,5e-06,2e-05
2,-8.499608997457325e+16,0.6955975691477457,,0.625,0.0,0.0,5e-06,2,5e-06,2e-05
3,-1.2798369219765587e+17,0.7033041516939799,,0.6145833333333334,0.0,0.0,5e-06,2,5e-06,2e-05
4,-1.0676613483786886e+17,0.7108838160832723,0.5190311418685121,0.6111111111111112,0.0,0.0,5e-06,2,5e-06,2e-05
5,-1.534300301415264e+17,0.7206058899561564,,0.5989583333333334,0.0,0.0,5e-06,2,5e-06,2e-05
6,-1.9433127080309005e+17,0.7285739382108053,,0.6145833333333334,0.0,0.0,5e-06,2,5e-06,2e-05
7,-2.04424510498078e+17,0.7452030579249064,,0.6076388888888888,0.0,0.0,5e-06,2,5e-06,2e-05
8,-2.2808742177426016e+17,0.7674319545427958,,0.5364583333333334,0.0,0.0,5e-06,2,5e-06,2e-05
9,-2.380328060898288e+17,0.7820580204327902,0.6079907353792704,0.5086805555555556,0.0,0.0,5e-06,2,5e-06,2e-05
10,-2.7163207302738083e+17,0.796750525633494,,0.515625,0.0,0.0,5e-06,2,5e-06,2e-05
11,-3.011258257560278e+17,0.8133144577344259,,0.5225694444444444,0.0,0.0,5e-06,2,5e-06,2e-05
12,-3.072559994837553e+17,0.8369333942731222,,0.4861111111111111,0.0,0.0,5e-06,2,5e-06,2e-05
13,-3.333908555874352e+17,0.8633310993512472,,0.4340277777777778,0.0,0.0,5e-06,2,5e-06,2e-05
