epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-8.741113698061986e+16,0.7179920162473407,0.6811111111111111,0.3596938775510204,0.2222222222222222,0.0,5e-06,0,5e-06,2e-05
2,-1.4280737605632469e+17,0.7324461766651699,0.63668430335097,0.3137755102040816,0.0,0.0,5e-06,0,5e-06,2e-05
3,-1.3717960831428198e+17,0.7465869188308716,0.4774305555555556,0.29464285714285715,0.0,0.0,5e-06,0,5e-06,2e-05
4,-1.7391527626613907e+17,0.7573748486382621,0.5432098765432098,0.3112244897959184,0.0,0.0,5e-06,0,5e-06,2e-05
5,-1.9982031874522198e+17,0.7677910838808332,0.5879120879120879,0.35331632653061223,0.0,0.0,5e-06,0,5e-06,2e-05
6,-2.2768351166969565e+17,0.7837028929165432,,0.3826530612244898,0.0,0.0,5e-06,0,5e-06,2e-05
7,-2.2675227072490934e+17,0.7940072843006679,0.5909604519774011,0.43239795918367346,0.0,0.0,5e-06,0,5e-06,2e-05
8,-2.3212630437722288e+17,0.812545793397086,0.4873271889400922,0.4502551020408163,0.0,0.0,5e-06,0,5e-06,2e-05
9,-2.52585905077729e+17,0.8261732033320835,0.6600894501446988,0.4732142857142857,0.0,0.0,5e-06,0,5e-06,2e-05
10,-2.867531000618493e+17,0.8440140570913043,0.5816536404771699,0.4744897959183674,0.0,0.0,5e-06,0,5e-06,2e-05
11,-3.233451440005448e+17,0.8659686361040387,0.6519694297472075,0.46683673469387754,0.0,0.0,5e-06,0,5e-06,2e-05
12,-3.940010582815539e+17,0.8898612431117466,,0.48086734693877553,0.0,0.0,5e-06,0,5e-06,2e-05
13,-3.9018806607984346e+17,0.9158327238900321,0.5280478683620045,0.5038265306122449,0.0,0.0,5e-06,0,5e-06,2e-05
14,-4.271606944334386e+17,0.9467986311231341,,0.49107142857142855,0.0,0.0,5e-06,0,5e-06,2e-05
15,-4.3096233442301894e+17,0.9781970466886248,0.6018041237113402,0.47066326530612246,0.0,0.0,5e-06,0,5e-06,2e-05
