epoch,train_loss,val_loss,learning_rate,masked_channel_index
1,0.6034922143742707,0.42157405042648316,2e-05,12
2,0.4031747601846783,0.360582181930542,2e-05,12
3,0.3548300123087452,0.33243852758407594,2e-05,12
4,0.3289508734733609,0.3153241562843323,2e-05,12
5,0.3106644635098685,0.2999389672279358,2e-05,12
6,0.2961339256941636,0.28816179156303406,2e-05,12
7,0.2838685542238989,0.2798275153636932,2e-05,12
8,0.2737774156908972,0.27158853197097776,2e-05,12
9,0.2642550285494625,0.26395138692855835,2e-05,12
10,0.25594292193969376,0.25695502424240113,2e-05,12
11,0.24712330691542914,0.25223090887069705,2e-05,12
12,0.24059753501754638,0.2462992172241211,2e-05,12
13,0.2338216630377379,0.2411276468038559,2e-05,12
14,0.22814585941966317,0.23737983798980714,2e-05,12
15,0.22408394425365,0.23237098956108093,2e-05,12
16,0.21881575330932793,0.2331476550102234,2e-05,12
17,0.21323664762159258,0.225450035572052,2e-05,12
18,0.20847321786914433,0.2217758505344391,2e-05,12
19,0.2038533998341747,0.2192539335489273,2e-05,12
20,0.2008859067094708,0.21651809644699097,2e-05,12
21,0.1967206629145612,0.21322996258735658,2e-05,12
22,0.1918278190695094,0.21185350847244264,2e-05,12
23,0.18957656664356218,0.20611764931678772,2e-05,12
24,0.1869361942030781,0.20883861899375916,2e-05,12
25,0.18346417708541152,0.2036493637561798,2e-05,12
26,0.18006454689222723,0.20527834343910217,2e-05,12
27,0.17719819425900213,0.19834425306320191,2e-05,12
28,0.17443077191975617,0.19968688893318176,2e-05,12
29,0.1717423888924283,0.19686888945102693,2e-05,12
30,0.16918238090662768,0.1950419113636017,2e-05,12
31,0.16656911208748393,0.2030127601623535,2e-05,12
32,0.16484537275236272,0.19104141783714296,2e-05,12
33,0.1633205160339532,0.19511047554016114,2e-05,12
34,0.16027818498238125,0.18669053339958191,2e-05,12
35,0.1577307500767114,0.18886287498474122,2e-05,12
36,0.15617749826763871,0.18680439281463623,2e-05,12
37,0.15338019719115356,0.1881055450439453,2e-05,12
38,0.15279710107214511,0.18619027495384216,2e-05,12
39,0.15011903410280303,0.1792154507637024,2e-05,12
40,0.14883988045712807,0.177393124461174,2e-05,12
41,0.14717214530685194,0.17640572452545167,2e-05,12
42,0.14475610534067257,0.176540678024292,2e-05,12
43,0.142772493837567,0.1899404374361038,2e-05,12
44,0.14217660939354065,0.17863726663589477,2e-05,12
45,0.14019557831020119,0.17305543529987336,2e-05,12
46,0.1394181674167355,0.1756368134021759,2e-05,12
47,0.13801209233515627,0.1717208491563797,2e-05,12
48,0.1362391912852318,0.17335058760643005,2e-05,12
49,0.13486870455147956,0.17040046191215516,2e-05,12
50,0.1333174536873013,0.1785194363594055,2e-05,12
