model,pretraining,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
verify_with_landcover_344,cross_channel,32,0,224,56,64,32,32,0.6884765625,0.7020749257087602,0.5,0.0,0.0,0.0,0.42540451884269714,0.515625,0.5079365079365079,1.0,0.6736842105263158,1,31,0,32,3,0.4655612244897959,0.700535706111363
verify_with_landcover_344,cross_channel,32,1,212,54,78,39,39,0.5463510848126233,0.571511152184476,0.5,0.5,0.02564102564102564,0.048780487804878044,0.4231858253479004,0.5,0.5,1.0,0.6666666666666666,0,39,0,39,2,0.4074074074074074,0.6993008719550239
verify_with_landcover_344,cross_channel,32,2,190,48,106,53,53,0.5404058383766465,0.6083938076274238,0.5,0.0,0.0,0.0,0.38869521021842957,0.49056603773584906,0.4942528735632184,0.8113207547169812,0.6142857142857143,9,44,10,43,6,0.7586805555555556,0.7073642412821451
verify_with_landcover_344,cross_channel,32,3,252,64,28,14,14,0.413265306122449,0.48480888646302184,0.5,0.0,0.0,0.0,0.34628188610076904,0.5,0.5,1.0,0.6666666666666666,0,14,0,14,1,0.392578125,0.7288089543581009
verify_with_landcover_344,cross_channel,32,4,220,56,68,34,34,0.15916955017301038,0.3421700359556341,0.5,0.0,0.0,0.0,0.37557294964790344,0.5,0.5,1.0,0.6666666666666666,0,34,0,34,1,0.28316326530612246,0.7220357230731419
