model_name,fraction,mean,std,size
dual_view_contrastive_learning,0.01,0.8291220380261319,0.007436455623483967,2
dual_view_contrastive_learning,0.05,0.893154120454889,0.004694619516435437,2
dual_view_contrastive_learning,0.1,0.9089278259950855,0.0045333016349652115,2
dual_view_contrastive_learning,0.25,0.9292925730098547,0.0021191782119125415,2
dual_view_contrastive_learning,1.0,0.9532142541330406,2.1129257169518662e-05,2
dual_view_masked_reconstruction,0.01,0.8292203605700784,0.01870446381485688,2
dual_view_masked_reconstruction,0.05,0.8943621979145144,0.001483005975548164,2
dual_view_masked_reconstruction,0.1,0.9117414464684771,0.000544685579715551,2
dual_view_masked_reconstruction,0.25,0.9323624321856776,8.6028772875768e-05,2
dual_view_masked_reconstruction,1.0,0.9555289470242005,0.000646462704443279,2
scratch_full_model_baseline,0.01,0.8199590521118262,0.017708352519534783,2
scratch_full_model_baseline,0.05,0.8893757388712684,0.002385360329005601,2
scratch_full_model_baseline,0.1,0.9071124175055842,0.006221347437397308,2
scratch_full_model_baseline,0.25,0.9286020759740129,0.00038641237899754866,2
scratch_full_model_baseline,1.0,0.9545692175561582,0.0010017493027741538,2
