epoch,train_loss,val_loss,learning_rate,masked_channel_index
1,0.6190355321478589,0.44239974284172057,0.0001,13
2,0.405664883156264,0.35546432828903196,0.0001,13
3,0.33498799673603097,0.312385276556015,0.0001,13
4,0.29687694892340283,0.29803713130950926,0.0001,13
5,0.26545785028102986,0.25653461599349975,0.0001,13
6,0.24183214352436339,0.24394776678085328,0.0001,13
7,0.2248831495271459,0.24356412637233735,0.0001,13
8,0.21112603627914212,0.23060116910934447,0.0001,13
9,0.19948907138189811,0.22413682150840758,0.0001,13
10,0.19002891148960888,0.2113572144508362,0.0001,13
11,0.18030540761786423,0.20531794834136963,0.0001,13
12,0.17257130580864768,0.19898343324661255,0.0001,13
13,0.16274182949201915,0.20369841587543489,0.0001,13
14,0.15512980388152642,0.21469661557674408,0.0001,13
15,0.1478143459006985,0.19927551436424257,0.0001,13
16,0.14234266321430003,0.2115231246948242,0.0001,13
17,0.13731030841420977,0.18485146605968475,0.0001,13
18,0.13357234306076668,0.18170569813251494,0.0001,13
19,0.12739027792660793,0.18401618790626526,0.0001,13
20,0.12317811528028542,0.18114759278297424,0.0001,13
21,0.11888839442322686,0.18486072754859925,0.0001,13
22,0.11488417475036879,0.21239746594429015,0.0001,13
23,0.1114006411827756,0.19195665061473846,0.0001,13
24,0.1091568900597053,0.17666252183914186,0.0001,13
25,0.10589952069563374,0.18534978258609772,0.0001,13
26,0.10208038031206436,0.16846874117851257,0.0001,13
27,0.09915676355043765,0.1800498836040497,0.0001,13
28,0.09723017905636615,0.17343666541576386,0.0001,13
29,0.09388283327274899,0.16802139902114868,0.0001,13
30,0.09339683455186382,0.1949158000946045,0.0001,13
31,0.08969319784132188,0.1683445611000061,0.0001,13
32,0.08765740122553292,0.1662006847858429,0.0001,13
33,0.08582253717018616,0.19482635819911956,0.0001,13
34,0.08352995316541068,0.1744978606700897,0.0001,13
35,0.08126006845477637,0.17315490424633026,0.0001,13
36,0.07889029680622006,0.1846424150466919,0.0001,13
37,0.07801818296154199,0.17223982012271882,0.0001,13
38,0.07667607792861945,0.15955803370475768,0.0001,13
39,0.07596336803614456,0.1815173592567444,0.0001,13
40,0.073309467197313,0.2139015953540802,0.0001,13
41,0.07658810205625045,0.1759910181760788,0.0001,13
42,0.07212216566147753,0.17543306493759156,0.0001,13
43,0.06884097159439134,0.14876544547080994,0.0001,13
44,0.06857344913843264,0.16333050572872163,0.0001,13
45,0.06695411701643594,0.15537379503250123,0.0001,13
46,0.06534388295484184,0.15561882209777833,0.0001,13
47,0.06518522547922524,0.16051715648174286,0.0001,13
48,0.0633897953849034,0.14469343960285186,0.0001,13
49,0.0629309730677206,0.16202409505844118,0.0001,13
50,0.06151821700279399,0.1845269753932953,0.0001,13
