model_display_name,model_key,pretraining,pretext_category,patch_size,mean_auc,std_auc,median_auc,min_auc,max_auc,worst_fold_auc,best_fold_auc,mean_pr_auc,std_pr_auc,mean_f1_05,std_f1_05,mean_recall_05,std_recall_05,mean_precision_05,std_precision_05,mean_accuracy_05,std_accuracy_05,mean_f1_best,std_f1_best,delta_mean_auc_vs_scratch,delta_std_auc_vs_scratch,delta_worst_auc_vs_scratch,rank_by_mean_auc,rank_by_stability,rank_by_worst_fold_auc,main_scientific_role
Scratch,scratch_resnet18,none,None,32,0.7788415888071595,0.10475350641885786,0.7692307692307693,0.6240234375,0.8996539792387543,0.6240234375,0.8996539792387543,0.7706775071563239,0.11418616903325791,0.6637645687645688,0.12580017542769098,0.6607971708276924,0.25459704981082126,0.7559950773558368,0.18076738608170034,0.6892023209864496,0.09002503321013595,0.657163043626087,0.17235833081717244,0.0,0.0,0.0,3,4,3,Supervised baseline; high spatial fold variability.
Masked reconstruction,masked_recon_resnet18,masked_recon,Reconstruction-based,32,0.8209115257555426,0.04301100712104401,0.8112244897959183,0.7863247863247863,0.8955078125,0.7863247863247863,0.8955078125,0.813847535592398,0.0649844148815336,0.7106520959155875,0.10486004496211968,0.7631100517129928,0.24984004731964105,0.733397285484242,0.12684759597602777,0.707709535192887,0.07116205369539923,0.6666099376488205,0.17393586111601275,0.042069936948383124,-0.06174249929781385,0.1623013488247863,2,1,1,Most stable SSL transfer; best worst-fold AUC.
Contrastive learning,contrastive_resnet18,contrastive,Contrastive,32,0.8380075908531788,0.08494126273870217,0.8720703125,0.7041420118343196,0.9106443574225704,0.7041420118343196,0.9106443574225704,0.8311460315867307,0.07106111953193696,0.7257478884751611,0.11513481617071411,0.7226766504860289,0.23491675752596541,0.7903619909502262,0.09706296041371244,0.7487690213966575,0.06255817137877649,0.6745776445776446,0.17152910676283642,0.059166002046019295,-0.01981224368015569,0.08011857433431957,1,2,2,Highest mean AUC; effective but less stable than masked reconstruction.
Jigsaw,jigsaw_resnet18,jigsaw,Spatial-ordering,32,0.7225055206837693,0.10517568907636124,0.6903353057199211,0.6055363321799307,0.84375,0.6055363321799307,0.84375,0.7150899029665079,0.09144912106881614,0.6409548264155457,0.1841690984596769,0.652255074743976,0.2781386798717865,0.6766216478963821,0.1179248439919379,0.6699737115455762,0.12813812472014657,0.6341136826640129,0.14976266417082826,-0.056336068123390204,0.00042218265750337824,-0.018487105320069253,5,5,4,Weak SSL transfer; underperforms Scratch.
Rotation prediction,rotation_resnet18,rotation,Geometric,32,0.7255000571498961,0.09152247522098715,0.7244571021715913,0.6020408163265306,0.8564453125,0.6020408163265306,0.8564453125,0.7019110642787878,0.07566625816072213,0.5856614381289706,0.15982104904945266,0.5796890055006036,0.2570896936666995,0.6914329942503318,0.14536509346009843,0.630945672899058,0.09170432728934866,0.6335925380656854,0.19647492015964857,-0.05334153165726341,-0.01323103119787071,-0.021982621173469385,4,3,5,"Pretext task solved, but downstream transfer is weak."
Cross-channel masking,cross_channel_resnet18,cross_channel,Reconstruction-based,32,0.4021731172838739,0.1126665626867711,0.352438590245639,0.2802734375,0.5562130177514792,0.2802734375,0.5562130177514792,0.461877436233223,0.10099108740088773,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6499999999999999,0.028867513459481284,-0.3766684715232856,0.007913056267913235,-0.34375,7,6,7,New reconstruction-style SSL; predicts one held-out terrain factor (default TWI).
Strip jigsaw,strip_jigsaw_resnet18,strip_jigsaw,Spatial-ordering,32,0.6035994714868269,0.11462697783727668,0.6220703125,0.4190103239587042,0.7193877551020408,0.4190103239587042,0.7193877551020408,0.6208848754323828,0.09413540563239615,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6227892470802372,0.06282869502497428,-0.17524211732033257,0.009873471418418822,-0.2050131135412958,6,7,6,New coarse 3-strip spatial-ordering SSL.
