factor_order,factor_name,mean,std,min,max,valid_count
1,aspect,183.64937671631648,103.02512348395302,-1.0,360.0,62292870
2,bulk_density,1565.5413039032562,19.83422046203446,1434.5,1620.0,62106939
3,clay_pct,24.078698778966135,2.9378879987294653,12.0649995803833,37.98749923706055,62108204
4,elevation,406.3458750851818,104.9304697099359,197.37355041503906,1135.1715087890625,62292870
5,field_capacity,0.3229819387941665,0.015186975020466972,0.24015000462532043,0.3631249964237213,62116831
6,ksat,4.660036483454789,1.0368724811891419,1.1871330738067627,17.80422592163086,62111779
7,ndvi_annual_mean_2015_2024,0.6948424872582616,0.05756529020285166,-0.34429287910461426,0.8365560173988342,62292870
8,plan_curv,-0.000372321188859508,0.09393856969036668,-75.46588134765625,136.92088317871094,62292870
9,profile_curv,-0.00033474106282798175,0.006954294039490612,-0.09684158116579056,0.08532682806253433,62292870
10,sand_pct,34.37607741169656,3.9331330245843,12.619999885559082,55.662498474121094,62108204
11,slope,22.586313615836485,9.509983017136797,0.0,72.71855926513672,62292870
12,spi_dinf,3.3425712058730834,1.443646268208267,0.00995033048093319,18.241060256958008,62292870
13,twi_dinf,5.334956009923145,1.863035637461601,1.5717602968215942,26.490922927856445,62292870
