epoch,train_loss,train_local_loss,train_global_loss,val_loss,val_local_loss,val_global_loss,lr,epoch_time_sec,local_effective_masked_pixels_train,global_effective_masked_pixels_train,local_effective_masked_pixels_val,global_effective_masked_pixels_val,local_loss_denominator_train,global_loss_denominator_train,local_loss_denominator_val,global_loss_denominator_val,train_masked_ratio_local,train_masked_ratio_global,val_masked_ratio_local,val_masked_ratio_global,amp_enabled
1,1.2242770100063747,0.5841532011932797,0.6401238079177008,1.6216170177459717,0.4505774167060852,1.171039598083496,0.0001,311.7289125919342,4848586.0,21524333.0,538890.0,2393785.0,63031618.0,279816329.0,7005570.0,31119205.0,0.4799894917329152,0.49995900713602703,0.47991652522087097,0.5002857587337494,True
2,0.8324982197443644,0.3921431846406725,0.44035503526793585,1.3321900758743286,0.39096622891426086,0.9412238453865052,0.0001,309.6647262573242,4848762.0,21525808.0,539071.0,2391696.0,63033906.0,279835504.0,7007923.0,31092048.0,0.48000694206555683,0.4999932804849413,0.48007869372367856,0.4998503492355347,True
3,0.7607426999621921,0.364387004825804,0.39635569553375244,0.906070509338379,0.3472552083969116,0.558815304851532,0.0001,307.7828154563904,4848947.0,21525205.0,538971.0,2392490.0,63036311.0,279827665.0,7006623.0,31102370.0,0.48002531894577877,0.4999790856361389,0.4799889537334442,0.5000147215366364,True
4,0.7149038352754381,0.33477096243434484,0.3801328717867533,1.4839186973571776,0.32352317366600036,1.1603955167770386,0.0001,310.35416889190674,4848770.0,21530746.0,539031.0,2392456.0,63034010.0,279899698.0,7007403.0,31101928.0,0.4800076954682668,0.5001080596394009,0.48004251246452334,0.5000088326454163,True
5,0.6799635283152262,0.3238799899895986,0.3560835398991903,1.5773068189620971,0.31041290462017057,1.2668939127922059,0.0001,310.68330788612366,4848672.0,21526491.0,539004.0,2392533.0,63032736.0,279844383.0,7007052.0,31102929.0,0.4799978764375051,0.5000093329111736,0.480018820142746,0.5000244380950928,True
6,0.6476626705169678,0.3050989185227288,0.34256375160217284,2.479457964897156,0.32558587799072264,2.1538720853328703,0.0001,309.1635799407959,4848787.0,21523731.0,538965.0,2393115.0,63034231.0,279808503.0,7006545.0,31110495.0,0.480009426747428,0.4999446671803792,0.4799834575176239,0.5001458786964417,True
7,0.6295006655163236,0.29462112140125696,0.33487954307132295,2.813818120098114,0.29696267218589784,2.5168554511547088,0.0001,309.94094133377075,4848537.0,21526628.0,539023.0,2392639.0,63030981.0,279846164.0,7007299.0,31104307.0,0.4799846972518497,0.5000123768965403,0.48003574213981626,0.5000466114997864,True
8,0.6146618498484293,0.28859863662189905,0.3260632137298584,2.780104555416107,0.3033952520608902,2.476709297847748,0.0001,305.19426918029785,4848711.0,21527660.0,539037.0,2392987.0,63033243.0,279859580.0,7007481.0,31108831.0,0.480001830874549,0.500036516099506,0.48004775156974794,0.5001195886611939,True
9,0.6117548357221815,0.28958622221416896,0.3221686148007711,3.096144090938568,0.2907093240261078,2.805434770154953,0.0001,304.41020798683167,4848497.0,21526373.0,538858.0,2392252.0,63030461.0,279842849.0,7005154.0,31099276.0,0.47998053851127626,0.5000061452653672,0.4798879989147186,0.4999654972076416,True
10,0.5831969359927707,0.27408229854901633,0.3091146363046434,1.3947708841323851,0.2786209547519684,1.116149929332733,0.0001,307.23965978622437,4848842.0,21524667.0,538931.0,2392206.0,63034946.0,279820671.0,7006103.0,31098678.0,0.48001491009924147,0.49996678483751084,0.4799531688213348,0.49995499873161314,True
11,0.5797787753211128,0.27738816515604653,0.30239060967233444,4.058047346878052,0.28478923892974856,3.77325807056427,0.0001,307.0129427909851,4848691.0,21525556.0,539038.0,2391917.0,63032983.0,279832228.0,7007494.0,31094921.0,0.4799999250570933,0.4999877705468072,0.4800485534191132,0.4998957882881165,True
12,0.5685157230377197,0.2658958461178674,0.30261987750795155,0.8986568688392639,0.27804554603099824,0.6206113157272339,0.0001,307.9244718551636,4848853.0,21527440.0,539013.0,2392434.0,63035089.0,279856720.0,7007169.0,31101642.0,0.4800159422079722,0.5000305550045437,0.4800264659404755,0.5000045190811158,True
13,0.5613827508714464,0.2613099540975359,0.30007279790242514,1.2037058601379393,0.26716700201034543,0.9365388585567475,0.0001,308.3895707130432,4848696.0,21525514.0,539059.0,2392456.0,63033048.0,279831682.0,7007767.0,31101928.0,0.48000037235154047,0.4999860272407532,0.48006775546073915,0.5000075120925903,True
14,0.556030696551005,0.26080379770067,0.2952268985589345,2.370183200454712,0.2687765716075897,2.101406630706787,0.0001,308.8358414173126,4848869.0,21522596.0,539052.0,2391432.0,63035297.0,279793748.0,7007676.0,31088616.0,0.480017583460278,0.49991855516433714,0.4800612044811249,0.49979455938339234,True
15,0.5434414629830254,0.24977167172961764,0.2936697915501065,1.4178498118400573,0.26877894134521485,1.1490708603858948,0.0001,308.3019046783447,4848782.0,21525519.0,538997.0,2391580.0,63034166.0,279831747.0,7006961.0,31090540.0,0.4800089090930091,0.49998644711706375,0.48001231303215025,0.49982629613876345,True
16,0.5311552489386665,0.250377774005466,0.28077747549480864,1.0985541931152343,0.26069343519210814,0.8378607540607452,0.0001,307.9523980617523,4848753.0,21528847.0,538965.0,2392722.0,63033789.0,279875011.0,7006545.0,31105386.0,0.48000603370136685,0.5000641239802043,0.4799837249279022,0.5000638296127319,True
17,0.5241408557044135,0.24622501986821493,0.2779158360269335,2.3761806403160097,0.2640178223609924,2.1121628103256227,0.0001,311.431902885437,4848461.0,21525453.0,539115.0,2393687.0,63029993.0,279830889.0,7008495.0,31117931.0,0.47997692476378545,0.4999847384558784,0.48011777720451354,0.5002668505191803,True
18,0.5154493709458245,0.24308006121847364,0.2723693091551463,0.8616848289489746,0.25663328635692595,0.6050515426158904,0.0001,308.03621459007263,4848892.0,21525242.0,538971.0,2393697.0,63035596.0,279828146.0,7006623.0,31118061.0,0.48001991737683614,0.4999803185356988,0.47998901438713076,0.500267347240448,True
19,0.5245592472288344,0.24639038508733113,0.2781688625017802,4.978474905014038,0.2721201332807541,4.706354819059372,0.0001,309.1767177581787,4848493.0,21526474.0,538934.0,2392284.0,63030409.0,279844162.0,7006142.0,31099692.0,0.479980105331209,0.5000089135805765,0.47995599665641786,0.4999718846797943,True
20,0.514025238302019,0.24438707332346174,0.26963816402753193,3.6952820098876953,0.25717295994758604,3.4381090620040893,0.0001,308.91681814193726,4848691.0,21525488.0,538972.0,2392475.0,63032983.0,279831344.0,7006636.0,31102175.0,0.47999983104599847,0.4999854799588521,0.4799897693157196,0.5000124016284943,True
21,0.5115997384389241,0.2367360621770223,0.27486367629898917,1.1008404232025146,0.27067747871875764,0.8301629525184632,0.0001,309.8207995891571,4848790.0,21527085.0,538996.0,2391783.0,63034270.0,279852105.0,7006948.0,31093179.0,0.4800097597281138,0.5000228514353434,0.4800114173412323,0.4998689758300781,True
