method,arm,n_seeds,mean_AUC,SD_allfolds,seed_to_seed_SD,mean_PR_AUC,worst_fold_AUC,seed7_meanAUC,seed42_meanAUC,seed123_meanAUC
scratch,30m,3,0.6118,0.1734,0.0991,0.6208,0.3253,0.4977,0.6609,0.6767
scratch,10m,3,0.6357,0.1835,0.0631,0.6666,0.3891,0.6456,0.5681,0.6932
ssl,30m,3,0.564,0.1565,0.0983,0.5984,0.2676,0.6152,0.4506,0.6262
ssl,10m,3,0.5765,0.2026,0.0754,0.556,0.2967,0.4904,0.6308,0.6082
