model,pretraining,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
cross_channel_resnet18,cross_channel,32,0,224,56,64,32,32,0.900390625,0.8794613849555527,0.53125,0.5161290322580645,1.0,0.6808510638297872,0.7710941433906555,0.734375,0.6595744680851063,0.96875,0.7848101265822784,16,16,1,31,59,0.8290816326530612,0.8008772219930377
cross_channel_resnet18,cross_channel,32,1,212,54,78,39,39,0.8704799474030244,0.8614016242398023,0.5256410256410257,0.5131578947368421,1.0,0.6782608695652175,0.7432152032852173,0.782051282051282,0.8055555555555556,0.7435897435897436,0.7733333333333334,32,7,10,29,44,0.9026063100137174,0.6538100838661194
cross_channel_resnet18,cross_channel,32,2,190,48,106,53,53,0.7173371306514774,0.7280135221810187,0.5094339622641509,0.5047619047619047,1.0,0.6708860759493671,0.6131518483161926,0.5660377358490566,0.5360824742268041,0.9811320754716981,0.6933333333333332,8,45,1,52,48,0.8715277777777778,0.5770349502563477
cross_channel_resnet18,cross_channel,32,3,252,64,28,14,14,0.6785714285714286,0.694483016983017,0.5,0.5,1.0,0.6666666666666666,0.8563017845153809,0.5714285714285714,0.55,0.7857142857142857,0.6470588235294117,5,9,3,11,39,0.8486328125,0.9253213554620743
cross_channel_resnet18,cross_channel,32,4,220,56,68,34,34,0.8849480968858131,0.8862947465576676,0.5,0.5,1.0,0.6666666666666666,0.7066466212272644,0.75,0.84,0.6176470588235294,0.711864406779661,30,4,13,21,24,0.8214285714285714,0.7458776235580444
