epoch,train_loss,train_local_loss,train_global_loss,val_loss,val_local_loss,val_global_loss,lr,epoch_time_sec,local_effective_masked_pixels_train,global_effective_masked_pixels_train,local_effective_masked_pixels_val,global_effective_masked_pixels_val,local_loss_denominator_train,global_loss_denominator_train,local_loss_denominator_val,global_loss_denominator_val,train_masked_ratio_local,train_masked_ratio_global,val_masked_ratio_local,val_masked_ratio_global,amp_enabled
1,1.2072715591006808,0.599295041094886,0.6079765183024937,1.0661229327201844,0.42073271627426145,0.6453902153015136,0.0001,311.5706160068512,4849136.0,21526973.0,538657.0,2390905.0,63038768.0,279850649.0,7002541.0,31081765.0,0.4800109010855357,0.49998927077187433,0.48000601267814635,0.49996717801094054,True
2,0.8269558086925083,0.3925581171883477,0.4343976940896776,0.8408746377944947,0.3564698617219925,0.4844047764778137,0.0001,309.92401480674744,4849277.0,21528263.0,538717.0,2391330.0,63040601.0,279867419.0,7003321.0,31087290.0,0.48002504274580216,0.5000186893198225,0.4800595351696014,0.5000552066802979,True
3,0.7526256852044,0.3534310872554779,0.3991945976310306,0.7803393510818482,0.32307911994457245,0.45726022906303404,0.0001,308.14667534828186,4848857.0,21528016.0,538686.0,2392501.0,63035141.0,279864208.0,7002918.0,31102513.0,0.4799833234522078,0.5000132338205974,0.48003202357292174,0.5003011739730835,True
4,0.6936490918053521,0.3217909008079105,0.37185819108751084,0.7455787657737732,0.31145284678936,0.4341259208679199,0.0001,309.90347170829773,4849135.0,21527505.0,538733.0,2390811.0,63038755.0,279857565.0,7003529.0,31080543.0,0.48001079847017925,0.5000010373433431,0.48007386469841,0.4999479929924011,True
5,0.679416403749254,0.3243036085605621,0.35511279616885716,0.725963740348816,0.29600687906742096,0.42995686128139493,0.0001,310.6500210762024,4849142.0,21525193.0,538588.0,2390604.0,63038846.0,279827509.0,7001644.0,31077852.0,0.4800115611977047,0.49994748072094386,0.4799442153453827,0.49990389409065245,True
6,0.6550041403558519,0.30782825094328986,0.34717589148945277,0.7371329643249511,0.30303699715137483,0.4340959667682648,0.0001,311.178897857666,4848941.0,21524803.0,538666.0,2390805.0,63036233.0,279822439.0,7002658.0,31080465.0,0.47999162457254196,0.4999383369233873,0.4800140525341034,0.49994480333328245,True
7,0.633762977303399,0.29841395347383287,0.33534902300834657,0.7083196290016174,0.3053229052782059,0.4029967223882675,0.0001,308.2902421951294,4849148.0,21525813.0,538603.0,2391733.0,63038924.0,279835569.0,7001839.0,31092529.0,0.4800120421886444,0.4999621851974064,0.47995774264335633,0.500139266872406,True
8,0.6159147899203831,0.28614835341771444,0.3297664359516568,0.6698599334716797,0.2948257138967514,0.3750342201471329,0.0001,306.420658826828,4849009.0,21529327.0,538603.0,2392449.0,63037117.0,279881251.0,7001839.0,31101837.0,0.47999837001694573,0.5000436079449124,0.47995747714042664,0.5002895494461059,True
9,0.5964713443014357,0.27273463572925993,0.32373670869933235,0.6397767714977265,0.2775593960762024,0.36221737256050107,0.0001,310.201602935791,4849040.0,21529162.0,538659.0,2390929.0,63037520.0,279879106.0,7002567.0,31082077.0,0.48000135616196526,0.5000396765920851,0.4800079909801483,0.4999710677146912,True
10,0.5877837734010485,0.27287584416071575,0.31490792813830903,0.6148299755096436,0.2651507994890213,0.34967917637825013,0.0001,311.1807270050049,4849062.0,21528530.0,538658.0,2390472.0,63037806.0,279870890.0,7002554.0,31076136.0,0.48000370393859015,0.5000250668843588,0.48000684657096865,0.4998762387275696,True
11,0.5727846480899387,0.26737920904689366,0.3054054373900096,0.639659128856659,0.2745298771619797,0.36512924752235415,0.0001,310.5715742111206,4849327.0,21527086.0,538662.0,2390958.0,63041251.0,279852118.0,7002606.0,31082454.0,0.48003004722065395,0.49999169726371767,0.4800105460643768,0.4999788600921631,True
12,0.5670592265023126,0.27214871691068016,0.2949105096499125,0.6133247686386109,0.26997342908382416,0.3433513376712799,0.0001,306.3081650733948,4848980.0,21528507.0,538650.0,2391378.0,63036740.0,279870591.0,7002450.0,31087914.0,0.4799955168777042,0.5000244889153375,0.4799999698162079,0.5000660980224609,True
13,0.5511529774559869,0.2534397750377655,0.29771320259306167,0.6368088788986206,0.24737746500968932,0.38943141329288483,0.0001,307.62412214279175,4848943.0,21527136.0,538593.0,2390691.0,63036259.0,279852768.0,7001709.0,31078983.0,0.4799918667634328,0.4999925193733639,0.47994878153800963,0.49992250747680667,True
14,0.5434413576761882,0.25454822817908396,0.288893128267924,0.5872903685569764,0.2599245770931244,0.3273657937288284,0.0001,308.3783485889435,4848955.0,21526670.0,538765.0,2390526.0,63036415.0,279846710.0,7003945.0,31076838.0,0.4799930110878415,0.49998203252156576,0.48010293803215026,0.499886971282959,True
15,0.5376718944125706,0.24758794906404283,0.2900839455816481,0.5553971492767334,0.2401235141992569,0.3152736326217651,0.0001,309.9817752838135,4848544.0,21527177.0,538601.0,2390145.0,63031072.0,279853301.0,7001813.0,31071885.0,0.4799521695401933,0.49999386735492285,0.4799558825969696,0.4998066869735718,True
